,Relationship to the child,Total,Percent,Daily,Daily_From,Daily_To,Weekly,Weekly_From,Weekly_To,Occasionally,Occasionally_From,Occasionally_To,Never,Never_From,Never_To,NA,NA_From,NA_To,NS,NS_From,NS_To
0,Grandparents - Atlantic,"4,890",100,33,29.2,37.3,42.0,37.4,46.3,18.0,14.3,21.2,4.0,2.3,6.3,2.0,1.2,3.3,0.0,0.7,3.0
1,Aunts and uncles - Atlantic,"4,890",100,13,10.9,15.9,46.0,41.4,50.1,28.0,24.4,32.2,10.0,7.5,13.3,0.0,0.0,0.0,0.0,0.0,0.0
2,Grandparents - Ontario,"20,860",100,23,20.8,25.3,47.0,44.0,49.7,23.0,20.9,25.9,4.0,2.8,4.7,1.0,0.9,2.1,2.0,0.9,2.6
3,Grandparents - Manitoba,"14,220",100,27,24.3,29.1,43.0,40.2,45.6,21.0,19.1,23.8,5.0,4.2,6.6,2.0,1.3,3.0,2.0,1.1,2.4
4,Grandparents - Yukon,720,100,33,26.1,42.0,42.0,33.6,50.2,18.0,13.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Aunts and uncles - Yukon,720,100,22,16.0,29.6,47.0,39.2,56.0,21.0,15.4,27.8,8.0,4.2,14.4,0.0,0.0,0.0,0.0,0.0,0.0
6,Aunts and uncles - Nunavut,"3,530",100,52,48.6,55.1,30.0,27.1,33.1,8.0,6.3,10.1,6.0,4.5,7.9,2.0,1.2,3.0,2.0,1.2,3.1
7,Cousins - Nunavut,"3,530",100,47,44.2,50.4,32.0,29.3,35.5,7.0,5.7,9.1,6.0,4.6,7.6,4.0,2.9,5.6,3.0,1.9,4.2
