id,lat,lon,CH4
1,70.13343833,-143.663815,1.4
2,70.13343833,-143.663815,2
3,70.13343833,-143.663815,2.6
4,70.13343833,-143.663815,2
5,70.13343833,-143.663815,1.6
6,70.13343833,-143.663815,0.2
7,70.13343833,-143.663815,0.2
8,70.13343833,-143.663815,0.4
9,70.13343833,-143.663815,1
10,70.13343833,-143.663815,0.6
11,70.13343833,-143.663815,0.4
12,70.13343833,-143.663815,1.6
13,70.13343833,-143.663815,0.2
14,70.13343833,-143.663815,0.6
15,70.13343833,-143.663815,1.2
16,70.13343833,-143.663815,3.2
17,70.13343833,-143.663815,2.6
18,70.13343833,-143.663815,2.4
19,70.13343833,-143.663815,1
20,70.13343833,-143.663815,0.4
21,70.13343833,-143.663815,0.2
22,70.13343833,-143.663815,0.2
23,70.13343833,-143.663815,0.4
24,70.13343833,-143.663815,1.2
25,70.13343833,-143.663815,1.8
26,70.13343833,-143.663815,0.6
27,70.13343833,-143.663815,0.2
28,70.13343833,-143.663815,0.8
29,70.13343833,-143.663815,2.6
30,70.13343833,-143.663815,2.8
31,70.13343833,-143.663815,2.4
32,70.13343833,-143.663815,1.6
33,70.13343833,-143.663815,0.2
34,70.13343833,-143.663815,0.2
35,70.13343833,-143.663815,0.8
36,70.13343833,-143.663815,1
37,70.13343833,-143.663815,1.2
38,70.13343833,-143.663815,1.6
39,70.13343833,-143.663815,1.2
40,70.13343833,-143.663815,0.2
41,70.13343833,-143.663815,0.2
42,70.13343833,-143.663815,0.4
43,70.13343833,-143.663815,0.2
44,70.13343833,-143.663815,0.4
45,70.13343833,-143.663815,0.2
46,70.13343833,-143.663815,0.8
47,70.13343833,-143.663815,2
48,70.13343833,-143.663815,2
49,70.13343833,-143.663815,1.2
50,70.13343833,-143.663815,1.4
51,70.13343833,-143.663815,1
52,70.13343833,-143.663815,1
53,70.13343833,-143.663815,0.8
54,70.13343833,-143.663815,1
55,70.13343833,-143.663815,1.4
56,70.13343833,-143.663815,4.2
57,70.13343833,-143.663815,4.2
58,70.13343833,-143.663815,2.2
59,70.13343833,-143.663815,3
60,70.13343833,-143.663815,3
61,70.13343833,-143.663815,3.2
62,70.13343833,-143.663815,2.8
63,70.13343833,-143.663815,2.2
64,70.13343833,-143.663815,1.6
65,70.13343833,-143.663815,2.2
66,70.13343833,-143.663815,4
67,70.13343833,-143.663815,5.2
68,70.13343833,-143.663815,5.6
69,70.13343833,-143.663815,5.2
70,70.13343833,-143.663815,4
71,70.13343833,-143.663815,2.8
72,70.13343833,-143.663815,1.4
73,70.1334325,-143.6637525,2.2
74,70.1334325,-143.6637525,2.6
75,70.1334325,-143.6637525,2.8
76,70.1334325,-143.6637525,3
77,70.13342667,-143.66369,2.8
78,70.13342667,-143.66369,2.6
79,70.13342667,-143.66369,2.6
80,70.13342667,-143.66369,2
81,70.13342667,-143.66369,0.8
82,70.13342667,-143.66369,0.6
83,70.13342667,-143.66369,1.6
84,70.13342667,-143.66369,3.8
85,70.13342667,-143.66369,3.2
86,70.13342667,-143.66369,3.2
87,70.13342667,-143.66369,3.4
88,70.1334175,-143.663665,3.2
89,70.1334175,-143.663665,3
90,70.1334175,-143.663665,2.6
91,70.1334175,-143.663665,3.4
92,70.13340833,-143.66364,2.8
93,70.13340833,-143.66364,2.8
94,70.13340833,-143.66364,2.4
95,70.13340833,-143.66364,2.6
96,70.13340833,-143.66364,1.8
97,70.13340833,-143.66364,1
98,70.13339833,-143.6636158,2
99,70.13339833,-143.6636158,2.2
100,70.13339833,-143.6636158,2.8
101,70.13339833,-143.6636158,1.6
102,70.13338833,-143.6635917,1.4
103,70.13337667,-143.6635533,1.4
104,70.13337667,-143.6635533,1.6
105,70.13337667,-143.6635533,1.4
106,70.13337667,-143.6635533,1.4
107,70.133365,-143.663515,1.4
108,70.133365,-143.663515,1.8
109,70.133365,-143.663515,2
110,70.133365,-143.663515,2.4
111,70.133365,-143.663515,3
112,70.133365,-143.663515,3
113,70.1333475,-143.6634742,2.8
114,70.1333475,-143.6634742,1.6
115,70.1333475,-143.6634742,1.6
116,70.1333475,-143.6634742,1.8
117,70.13333,-143.6634333,2.2
118,70.13333,-143.6634333,2
119,70.13333,-143.6634333,2
120,70.13333,-143.6634333,1.8
121,70.13333,-143.6634333,1.6
122,70.13333,-143.6634333,1.4
123,70.13333,-143.6634333,1
124,70.13333,-143.6634333,1.4
125,70.13333,-143.6634333,1.6
126,70.13333,-143.6634333,2.8
127,70.13333,-143.6634333,2.4
128,70.133315,-143.6633925,3.2
129,70.133315,-143.6633925,2.4
130,70.133315,-143.6633925,2.6
131,70.133315,-143.6633925,1.4
132,70.1333,-143.6633517,1.8
133,70.133285,-143.6633067,1.8
134,70.133285,-143.6633067,2.4
135,70.133285,-143.6633067,2.2
136,70.133285,-143.6633067,2
137,70.13327,-143.6632617,1.8
138,70.13327,-143.6632617,2.4
139,70.13327,-143.6632617,2.6
140,70.13327,-143.6632617,3
141,70.13327,-143.6632617,3.2
142,70.13327,-143.6632617,3.2
143,70.133255,-143.6632183,2.8
144,70.133255,-143.6632183,2.6
145,70.133255,-143.6632183,3
146,70.133255,-143.6632183,3.2
147,70.13324,-143.663175,2.8
148,70.13324,-143.663175,2.6
149,70.13324,-143.663175,2.4
150,70.13324,-143.663175,2.8
151,70.13324,-143.663175,2.8
152,70.13324,-143.663175,2.6
153,70.13322333,-143.6631317,2.8
154,70.13322333,-143.6631317,3
155,70.13322333,-143.6631317,2.2
156,70.13322333,-143.6631317,2.2
157,70.13320667,-143.6630883,2
158,70.13320667,-143.6630883,1.8
159,70.13320667,-143.6630883,1.6
160,70.13320667,-143.6630883,2
