,lat,lon,CH4
0,70.13343833,-143.663815,4.2
1,70.13343833,-143.663815,4.2
2,70.13343833,-143.663815,4.2
3,70.13343833,-143.663815,4.2
4,70.13343833,-143.663815,4.0
5,70.13343833,-143.663815,4.0
6,70.13343833,-143.663815,5.2
7,70.13343833,-143.663815,5.2
8,70.13343833,-143.663815,5.6
9,70.13343833,-143.663815,5.2
10,70.13343833,-143.663815,5.2
11,70.13343833,-143.663815,4.0
12,70.13343833,-143.663815,4.0
13,70.13342667,-143.66369,3.8
14,70.13342667,-143.66369,3.4
15,70.13341750000001,-143.66366499999998,3.4
16,70.13319,-143.66304580000002,3.6
17,70.13294417,-143.6624308,3.8
18,70.13294417,-143.6624308,4.2
19,70.13294417,-143.6624308,3.4
20,70.13281333,-143.6621717,4.0
21,70.13281333,-143.6621717,3.8
22,70.13274667,-143.662015,3.4
23,70.13274667,-143.662015,3.8
24,70.13273249999999,-143.6619733,3.4
25,70.13268833,-143.661855,3.4
26,70.13253667,-143.6614083,6.4
27,70.13246667,-143.661235,3.4
28,70.13265833,-143.6610833,3.4
29,70.13265833,-143.6610833,3.4
30,70.13265833,-143.6610833,3.4
31,70.13265833,-143.6610833,3.4
32,70.1326375,-143.6611367,3.8
33,70.1326375,-143.6611367,6.0
34,70.1326375,-143.6611367,5.4
35,70.13261667,-143.66119,4.6
36,70.13261667,-143.66119,3.8
37,70.13260167,-143.66121919999998,3.8
38,70.13260167,-143.66121919999998,3.8
39,70.13260167,-143.66121919999998,4.4
40,70.13260167,-143.66121919999998,3.8
41,70.13260167,-143.66121919999998,3.8
42,70.13244917,-143.66145830000002,4.0
43,70.13244917,-143.66145830000002,4.4
44,70.13244667,-143.6614717,5.2
45,70.13244667,-143.6614717,4.4
46,70.13244667,-143.6614717,4.2
47,70.13244667,-143.6614717,3.4
48,70.13264833,-143.661485,3.4
49,70.13264833,-143.661485,3.4
50,70.13264833,-143.661485,3.4
51,70.13264833,-143.661485,3.4
52,70.13267083,-143.66148330000001,3.4
53,70.132835,-143.66149,3.6
54,70.13296833,-143.66146669999998,4.0
55,70.13296833,-143.66146669999998,3.8
56,70.13309833,-143.66149330000002,3.8
57,70.13309833,-143.66149330000002,3.8
58,70.13309833,-143.66149330000002,3.8
59,70.13309833,-143.66149330000002,3.8
60,70.13309833,-143.66149330000002,3.8
61,70.13309833,-143.66149330000002,3.8
62,70.13309833,-143.66149330000002,3.8
63,70.13309833,-143.66149330000002,3.8
64,70.13309833,-143.66149330000002,3.8
65,70.13309833,-143.66149330000002,3.8
66,70.13309833,-143.66149330000002,3.8
67,70.13309833,-143.66149330000002,3.8
68,70.13309833,-143.66149330000002,3.8
69,70.13309833,-143.66149330000002,3.8
70,70.13309833,-143.66149330000002,3.8
71,70.13309833,-143.66149330000002,3.8
72,70.13309833,-143.66149330000002,4.2
73,70.13311999999999,-143.6614925,4.6
74,70.13311999999999,-143.6614925,4.2
75,70.13311999999999,-143.6614925,4.2
76,70.13311999999999,-143.6614925,4.2
77,70.13311999999999,-143.6614925,4.2
78,70.13311999999999,-143.6614925,4.0
79,70.13314167,-143.6614917,4.4
80,70.13314167,-143.6614917,3.6
81,70.1332075,-143.66148080000002,3.4
82,70.1332075,-143.66148080000002,3.4
83,70.1332075,-143.66148080000002,3.6
84,70.1332075,-143.66148080000002,3.4
85,70.1332075,-143.66148080000002,3.4
86,70.13327833,-143.6615067,3.8
87,70.13327833,-143.6615067,4.2
88,70.13327833,-143.6615067,14.0
89,70.1333,-143.66151169999998,16.4
90,70.1333,-143.66151169999998,15.4
91,70.13342667,-143.6616767,3.4
92,70.13342667,-143.6616767,4.6
93,70.13342667,-143.6616767,4.6
94,70.13342667,-143.6616767,4.6
95,70.13342667,-143.6616767,4.6
96,70.13342667,-143.6616767,3.6
97,70.13344167,-143.66169,3.4
98,70.13343499999999,-143.6617167,3.8
99,70.13343499999999,-143.6617167,4.8
100,70.13343499999999,-143.6617167,5.4
101,70.13341167,-143.66173999999998,3.4
102,70.133165,-143.66176000000002,3.4
103,70.133165,-143.66176000000002,3.4
104,70.133165,-143.66176000000002,3.4
105,70.133165,-143.66176000000002,3.4
106,70.13305,-143.66175,3.4
107,70.13305,-143.66175,3.6
108,70.13251667,-143.66174919999997,4.8
109,70.13251667,-143.66174919999997,6.0
110,70.13251667,-143.66174919999997,5.0
111,70.13249499999999,-143.6617517,3.4
112,70.1324325,-143.6618792,3.6
113,70.1324325,-143.6618792,4.0
114,70.1324325,-143.6618792,3.8
115,70.13265083,-143.6620217,3.8
116,70.13267667,-143.6620383,4.0
117,70.13276833,-143.6620233,3.8
118,70.13276833,-143.6620233,4.2
119,70.13276833,-143.6620233,4.2
120,70.13276833,-143.6620233,4.2
